"X0","X1","X2","V4"
"Retinaldehyde (µg)","RETALD","Retinaldehyde","RETALDmcg"
"Alpha-carotene (µg)","ACAR","Alpha-carotene","CARTAmcg"
"Beta-carotene (µg)","BCAR","Beta-carotene","CARTBmcg"
"Cryptoxanthins (µg)","CRYPT","Cryptoxanthins","Cryptoxanthinsmcg"
"Lutein (µg)","LUT","Lutein","Luteinmcg"
"Lycopene (µg)","LYCO","Lycopene","LYCOmcg"
"25-hydroxy vitamin D3 (µg)","25OHD3","25-hydroxy vitamin D3","CHOCALOHmcg"
"Cholecalciferol (µg)","VITD3","Cholecalciferol","CHOCALmcg"
"5-mehtyl folate (µg)","5METHF","5-methyl folate","methylFOLmcg"
"Alpha-tocopherol (mg)","ATOPH","Alpha-tocopherol","TOCPHAmg"
"Beta-tocopherol (mg)","BTOPH","Beta-tocopherol","TOCPHBmg"
"Delta-tocopherol (mg)","DTOPH","Delta-tocopherol","TOCPHDmg"
"Gamma-tocopherol (mg)","GTOPH","Gamma-tocopherol","TOCPHGmg"
"Alpha-tocotrienol (mg)","ATOTR","Alpha-tocotrienol","TOCTRAmg"
"Gamma-tocotrienol (mg)","GTOTR","Gamma-tocotrienol","TOCTRGmg"
"C4:0 /100g FA (g)","FAC4:0","Butanoic acid per 100g fatty acids",NA
"C6:0 /100g FA (g)","FAC6:0","Hexanoic acid per 100g fatty acids",NA
"C8:0 /100g FA (g)","FAC8:0","Octanoic acid per 100g fatty acids",NA
"C10:0 /100g FA (g)","FAC10:0","Decanoic acid per 100g fatty acids",NA
"C11:0 ex Br /100g FA (g)","FAC11:0xb",NA,NA
"C12:0 /100g FA (g)","FAC12:0","Dodecanoic acid per 100g fatty acids",NA
"C12:0 ex Br /100g FA (g)","FAC12:0xb","ex Br Dodecanoic acid per 100g fatty acids",NA
"C13:0 /100g FA (g)","FAC13:0","Tridecanoic acid per 100g fatty acids",NA
"C13:0 ex Br /100g FA (g)","FAC13:0xb","ex Br Tridecanoic acid per 100g fatty acids",NA
"C14:0 /100g FA (g)","FAC14:0","Tetradecanoic acid per 100g fatty acids",NA
"C14:0 ex Br /100g FA (g)","FAC14:0xb","ex Br Tetradecanoic acid per 100g fatty acids",NA
"C15:0 /100g FA (g)","FAC15:0","Pentadecanoic acid per 100g fatty acids",NA
"C15:0 ex Br /100g FA (g)","FAC15:0xb","ex Br Pentadecanoic acid per 100g fatty acids",NA
"C16:0 /100g FA (g)","FAC16:0","Hexadecanoic acid per 100g fatty acids",NA
"C16:0 ex Br /100g FA (g)","FAC16:0xb","ex Br Hexadecanoic acid per 100g fatty acids",NA
"C17:0 /100g FA (g)","FAC17:0","Heptadecanoic acid per 100g fatty acids",NA
"C17:0 ex Br /100g FA (g)","FAC17:0xb","ex Br Heptadecanoic acid per 100g fatty acids",NA
"C18:0 /100g FA (g)","FAC18:0","Octadecanoic acid per 100g fatty acids",NA
"C18:0 ex Br /100g FA (g)","FAC18:0xb","ex Br Octadecanoic acid per 100g fatty acids",NA
"C19:0 /100g FA (g)","FAC19:0","Nonadecanoic acid per 100g fatty acids",NA
"C20:0 /100g FA (g)","FAC20:0","Eicosanoic acid per 100g fatty acids",NA
"C20:0 ex Br /100g FA (g)","FAC20:0xb","ex Br Eicosanoic acid per 100g fatty acids",NA
"C22:0 /100g FA (g)","FAC22:0","Docosanoic acid per 100g fatty acids",NA
